"mixture_setting","source_run","source_scope","method","n","p","H_true","G_config","completed_reps","expected_reps","complete"
"asymmetric_pi","fixed_ifeval_lambda_min30_u1_2_cp0_05_sep2_lambda5_asymmetric_pi_check","five_rep_gibbs_robustness_n200_n400","viroli_laplace_gibbs",400,500,5,"2-2-2-2-2",5,5,TRUE
"asymmetric_pi","fixed_ifeval_lambda_min30_u1_2_cp0_05_sep2_lambda3_n100_asymmetric_pi","full_25_rep_n100","independent_marginal_mixture",100,1000,5,"2-2-2-2-2",25,25,TRUE
"asymmetric_pi","fixed_ifeval_lambda_min30_u1_2_cp0_05_sep2_lambda3_n100_asymmetric_pi","full_25_rep_n100","viroli_laplace_gibbs",100,1000,5,"2-2-2-2-2",25,25,TRUE
"asymmetric_pi","fixed_ifeval_lambda_min30_u1_2_cp0_05_sep2_lambda5_pmax2000_product_completion_asymmetric_pi","full_25_rep_product_n200_n400","independent_marginal_mixture",200,1000,5,"2-2-2-2-2",25,25,TRUE
"asymmetric_pi","fixed_ifeval_lambda_min30_u1_2_cp0_05_sep2_lambda5_asymmetric_pi_check","five_rep_gibbs_robustness_n200_n400","viroli_laplace_gibbs",200,1000,5,"2-2-2-2-2",5,5,TRUE
"asymmetric_pi","fixed_ifeval_lambda_min30_u1_2_cp0_05_sep2_lambda5_pmax2000_product_completion_asymmetric_pi","full_25_rep_product_n200_n400","independent_marginal_mixture",400,1000,5,"2-2-2-2-2",25,25,TRUE
"asymmetric_pi","fixed_ifeval_lambda_min30_u1_2_cp0_05_sep2_lambda5_asymmetric_pi_check","five_rep_gibbs_robustness_n200_n400","viroli_laplace_gibbs",400,1000,5,"2-2-2-2-2",5,5,TRUE
"asymmetric_pi","fixed_ifeval_lambda_min30_u1_2_cp0_05_sep2_lambda3_n100_asymmetric_pi","full_25_rep_n100","independent_marginal_mixture",100,1500,5,"2-2-2-2-2",25,25,TRUE
"asymmetric_pi","fixed_ifeval_lambda_min30_u1_2_cp0_05_sep2_lambda5_pmax2000_product_completion_asymmetric_pi","full_25_rep_product_n200_n400","independent_marginal_mixture",200,1500,5,"2-2-2-2-2",25,25,TRUE
"asymmetric_pi","fixed_ifeval_lambda_min30_u1_2_cp0_05_sep2_lambda5_pmax2000_product_completion_asymmetric_pi","full_25_rep_product_n200_n400","independent_marginal_mixture",400,1500,5,"2-2-2-2-2",25,25,TRUE
"asymmetric_pi","fixed_ifeval_lambda_min30_u1_2_cp0_05_sep2_lambda3_n100_asymmetric_pi","full_25_rep_n100","independent_marginal_mixture",100,2000,5,"2-2-2-2-2",25,25,TRUE
"asymmetric_pi","fixed_ifeval_lambda_min30_u1_2_cp0_05_sep2_lambda5_pmax2000_product_completion_asymmetric_pi","full_25_rep_product_n200_n400","independent_marginal_mixture",200,2000,5,"2-2-2-2-2",25,25,TRUE
"asymmetric_pi","fixed_ifeval_lambda_min30_u1_2_cp0_05_sep2_lambda5_pmax2000_product_completion_asymmetric_pi","full_25_rep_product_n200_n400","independent_marginal_mixture",400,2000,5,"2-2-2-2-2",25,25,TRUE
"asymmetric_pi","fixed_ifeval_lambda_min30_u1_2_cp0_05_sep2_lambda3_n100_asymmetric_pi","full_25_rep_n100","independent_marginal_mixture",100,500,10,"2-2-2-2-2-2-2-2-2-2",25,25,TRUE
"asymmetric_pi","fixed_ifeval_lambda_min30_u1_2_cp0_05_sep2_lambda3_n100_asymmetric_pi","full_25_rep_n100","viroli_laplace_gibbs",100,500,10,"2-2-2-2-2-2-2-2-2-2",25,25,TRUE
"asymmetric_pi","fixed_ifeval_lambda_min30_u1_2_cp0_05_sep2_lambda5_pmax2000_product_completion_asymmetric_pi","full_25_rep_product_n200_n400","independent_marginal_mixture",200,500,10,"2-2-2-2-2-2-2-2-2-2",25,25,TRUE
"asymmetric_pi","fixed_ifeval_lambda_min30_u1_2_cp0_05_sep2_lambda5_asymmetric_pi_check","five_rep_gibbs_robustness_n200_n400","viroli_laplace_gibbs",200,500,10,"2-2-2-2-2-2-2-2-2-2",5,5,TRUE
