"loading_design","method","H_true","G_true","n","p","n_reps","mean_alpha_rmse","sd_alpha_rmse","lower_alpha_rmse","upper_alpha_rmse","mean_lambda_rmse","sd_lambda_rmse","lower_lambda_rmse","upper_lambda_rmse","mean_joint_mu_rmse","sd_joint_mu_rmse","lower_joint_mu_rmse","upper_joint_mu_rmse","mean_joint_var_rmse","sd_joint_var_rmse","lower_joint_var_rmse","upper_joint_var_rmse","mean_joint_weight_rmse","sd_joint_weight_rmse","lower_joint_weight_rmse","upper_joint_weight_rmse","mean_flat_parameter_corr","sd_flat_parameter_corr","lower_flat_parameter_corr","upper_flat_parameter_corr"
"balanced_moderate_dense_signed_cross","independent_marginal_mixture",3,2,100,500,25,0.353093383621823,0.0785486802168124,0.195996023188198,0.510190744055447,0.262014713925328,0.0289622798403783,0.204090154244572,0.319939273606085,0.10560551187258,0.0327532468589071,0.0400990181547657,0.171112005590394,0.0647284694868118,0.0120514145361492,0.0406256404145133,0.0888312985591102,0.0241442747066806,0.00751347231233825,0.00911733008200408,0.0391712193313571,0.927863345412692,0.0158282376178181,0.896206870177056,0.959519820648328
"balanced_moderate_dense_signed_cross","joint_mixture_factor_gibbs",3,2,100,500,25,0.31584598129047,0.0582427470487526,0.199360487192965,0.432331475387976,0.83236373944346,0.194174851246082,0.444014036951296,1.22071344193562,2.16729953933192,0.739842783619628,0.68761397209266,3.64698510657117,1.07485025732869,0.140252892782579,0.794344471763535,1.35535604289385,0.301691019418175,0.0424455957685188,0.216799827881138,0.386582210955213,0.78172775496329,0.0700890368243259,0.641549681314639,0.921905828611942
"balanced_moderate_dense_signed_cross","independent_marginal_mixture",3,2,500,500,25,0.110588011995735,0.0129138309564242,0.0847603500828863,0.136415673908583,0.0899273326849246,0.00417459128131476,0.081578150122295,0.0982765152475541,0.041490502316099,0.0154806753550179,0.0105291516060632,0.0724518530261349,0.0317465027750984,0.0103630201241943,0.0110204625267097,0.0524725430234871,0.00907818178965923,0.00376705838466328,0.00154406502033267,0.0166122985589858,0.989310338735079,0.00118206206155755,0.986946214611964,0.991674462858194
"balanced_moderate_dense_signed_cross","joint_mixture_factor_gibbs",3,2,500,500,25,0.109767477127932,0.0127843253975566,0.0841988263328187,0.135336127923045,0.149628318842321,0.0445935716083127,0.0604411756256957,0.238815462058947,0.472082234375247,0.0626109514169323,0.346860331541383,0.597304137209112,0.432865345649543,0.0965779834888393,0.239709378671864,0.626021312627221,0.0757378269218311,0.0189661377863288,0.0378055513491735,0.113670102494489,0.970772420464244,0.013439722016568,0.943892976431108,0.99765186449738
"balanced_moderate_dense_signed_cross","independent_marginal_mixture",3,2,1000,500,25,0.0719220835977226,0.00622553528134438,0.0594710130350338,0.0843731541604113,0.0615434926530171,0.0022294544242841,0.0570845838044489,0.0660024015015854,0.0356938188189473,0.00954137967434513,0.0166110594702571,0.0547765781676376,0.0316315095355525,0.0089944288261372,0.0136426518832781,0.0496203671878269,0.00747781030865535,0.00236399563633542,0.0027498190359845,0.0122058015813262,0.994868565172429,0.000413464009568461,0.994041637153292,0.995695493191566
"balanced_moderate_dense_signed_cross","joint_mixture_factor_gibbs",3,2,1000,500,25,0.071322202874136,0.00647156979011524,0.0583790632939055,0.0842653424543665,0.0792640281422277,0.0185664016496092,0.0421312248430093,0.116396831441446,0.494612768344825,0.258266344758643,-0.0219199211724611,1.01114545786211,0.436859760585058,0.151773432539064,0.133312895506929,0.740406625663187,0.0771326332213535,0.0273336668170619,0.0224652995872296,0.131799966855477,0.984891842267347,0.00668671551168256,0.971518411243982,0.998265273290712
"balanced_moderate_dense_signed_cross","independent_marginal_mixture",3,2,2000,500,25,0.051558739621666,0.00495199830522412,0.0416547430112178,0.0614627362321143,0.0426171579548789,0.0012307284650408,0.0401557010247973,0.0450786148849605,0.0232148755071991,0.00568141520584984,0.0118520450954994,0.0345777059188987,0.0293454931790008,0.00415675195249926,0.0210319892740023,0.0376589970839994,0.00429541717712547,0.00169874520267681,0.000897926771771858,0.00769290758247908,0.99744468872556,0.00015550154829301,0.997133685628974,0.997755691822147
"balanced_moderate_dense_signed_cross","joint_mixture_factor_gibbs",3,2,2000,500,25,0.0505579171857764,0.0052826166865541,0.0399926838126682,0.0611231505588846,0.0482693520734772,0.00519243915133814,0.037884473770801,0.0586542303761535,0.473402843974774,0.120099835773391,0.233203172427992,0.713602515521556,0.478302576282239,0.125217284209632,0.227868007862974,0.728737144701503,0.0791859928139882,0.0216002094127121,0.035985573988564,0.122386411639412,0.989565285729154,0.00292751460101785,0.983710256527118,0.99542031493119
"balanced_moderate_dense_signed_cross","independent_marginal_mixture",3,3,100,500,25,0.282224602650318,0.0601981086563968,0.161828385337524,0.402620819963111,0.276349539138238,0.0644296306484529,0.147490277841332,0.405208800435143,0.41583386959378,0.14261558102853,0.130602707536721,0.701065031650839,0.185940652127242,0.0332873109804958,0.11936603016625,0.252515274088234,0.0298281777874508,0.00728615369783705,0.0152558703917767,0.0444004851831249,0.919924563684818,0.0359233235416544,0.848077916601509,0.991771210768126
"balanced_moderate_dense_signed_cross","joint_mixture_factor_gibbs",3,3,100,500,25,0.288056914966807,0.043947321554651,0.200162271857505,0.375951558076109,0.932571432966187,0.0863989797837965,0.759773473398594,1.10536939253378,1.24019420341828,0.31416352679362,0.611867149831037,1.86852125700552,1.00791836986134,0.0653447391508317,0.877228891559682,1.13860784816301,0.185574651071349,0.00186537171639981,0.181843907638549,0.189305394504148,0.731747158299776,0.0676165965821078,0.59651396513556,0.866980351463991
"balanced_moderate_dense_signed_cross","independent_marginal_mixture",3,3,500,500,25,0.0965907994879781,0.00857691393357615,0.0794369716208258,0.11374462735513,0.0906806679205389,0.00340477352585624,0.0838711208688264,0.0974902149722514,0.223800884320674,0.0670987096438346,0.0896034650330046,0.357998303608343,0.148481465846875,0.0347073157158364,0.0790668344152027,0.217896097278548,0.0148649631848416,0.00369551854657692,0.00747392609168778,0.0222560002779955,0.987000293867728,0.00192531497907213,0.983149663909584,0.990850923825872
