"scenario","rep","np_regime","n","p","H_true","G_true","G_config","K_joint","separation","mixture_param_mode","mixture_variance_mode","intercept_mode","intercept_sd","intercept_block_span","intercept_clip","loading_design","block_size_mode","mixture_update","mu_prior_mean","mu_prior_kappa","var_prior_shape","var_prior_scale","weight_prior_alpha","parallel_enabled","parallel_workers","method","mean_factor_abs_cor","min_factor_abs_cor","factor_score_rmse","factor_score_raw_rmse","lambda_corr","lambda_rmse","alpha_corr","alpha_rmse","alpha_raw_corr","alpha_raw_rmse","probability_rmse","joint_profile_ari","seconds","pretraining_converged","pretraining_completed_iter","selected_pretraining_iteration","pretraining_return_best_iteration","refinement_converged","refinement_completed_iter","selected_refinement_iteration","refinement_return_best_iteration","refinement_stopping_objective","joint_mu_rmse","joint_var_rmse","joint_mu_corr","joint_var_corr","joint_weight_corr","joint_weight_rmse","joint_weight_l1","joint_weight_max_abs_error","est_effective_classes_001","est_effective_classes_01","flat_parameter_corr","flat_parameter_blocks","all_parameter_corr","all_parameter_corr_raw","all_parameter_blocks","occupied_classes","posterior_kept_draws","mfa_seconds_per_iter","mfa_converged","mfa_completed_iter","mfa_final_lambda_rel_range","mfa_final_intercept_rel_range","mfa_final_occupied_range"
"rep18_balanced_moderate_few_positive_cross_n2000_p500_H3_G2-2-2_sep1",18,"n2000p500",2000,500,3,"2-2-2","2-2-2",8,1,"equal","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_few_positive_cross","balanced","map",0,0.01,2,1.5,1,TRUE,18,"independent_marginal_mixture",0.991144141082909,0.987873754748435,0.133052102483447,0.139994844545063,0.995987969784938,0.0431270413541642,0.998060681181189,0.0675484064469468,NA,NA,0.0337730495781552,0.896682555228622,32.1759999999995,FALSE,10,10,TRUE,TRUE,3,3,TRUE,"posterior_objective",0.0394655476224369,0.0347859587375569,0.999200160161864,0.985308559823353,NA,0.00847860244267691,0.0511243252401483,0.0131514161188027,8,8,0.996791018033395,"alpha+loading+joint_mu+joint_var+joint_weight",0.996064109689937,0.996507241982049,"alpha+loading+joint_mu+joint_log_var",NA,NA,NA,NA,NA,NA,NA,NA
"rep18_balanced_moderate_few_positive_cross_n2000_p500_H3_G2-2-2_sep1",18,"n2000p500",2000,500,3,"2-2-2","2-2-2",8,1,"equal","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_few_positive_cross","balanced",NA,NA,NA,NA,NA,NA,FALSE,18,"joint_mixture_factor_gibbs",0.98921633069865,0.985131923489525,0.146821507053289,0.152279236616405,0.993698805713211,0.0554327387862282,0.997968135441175,0.0705905077566416,0.997967938574118,0.0705969782124553,0.0339630393369734,0.484073837783655,174.663,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.632792635931023,0.612196578126101,0.715776641750247,0.111335262723561,NA,0.102724733022548,0.749528610549749,0.135647058904406,5,5,0.982928532231247,"alpha+loading+joint_mu+joint_var+joint_weight",0.983124876688916,0.947926720425756,"alpha+loading+joint_mu+joint_log_var",5,1000,0.0873315000000002,FALSE,2000,0.0587870124515331,0.0884978751683053,2
"rep19_balanced_moderate_few_positive_cross_n2000_p500_H3_G2-2-2_sep1",19,"n2000p500",2000,500,3,"2-2-2","2-2-2",8,1,"equal","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_few_positive_cross","balanced","map",0,0.01,2,1.5,1,TRUE,18,"independent_marginal_mixture",0.991458791369107,0.989253740660051,0.130667042719865,0.132387515234133,0.996210143684394,0.0414732940903922,0.99818018930721,0.0503744928476008,NA,NA,0.0341493353521156,0.911026322020079,32.8729999999996,FALSE,10,10,TRUE,TRUE,3,3,TRUE,"posterior_objective",0.0194634911639015,0.0336920178599505,0.999908763744179,0.988398273473873,NA,0.00297908874935323,0.0221461577748917,0.00434946415523776,8,8,0.997328159264854,"alpha+loading+joint_mu+joint_var+joint_weight",0.996539984062089,0.996979162444525,"alpha+loading+joint_mu+joint_log_var",NA,NA,NA,NA,NA,NA,NA,NA
"rep19_balanced_moderate_few_positive_cross_n2000_p500_H3_G2-2-2_sep1",19,"n2000p500",2000,500,3,"2-2-2","2-2-2",8,1,"equal","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_few_positive_cross","balanced",NA,NA,NA,NA,NA,NA,FALSE,18,"joint_mixture_factor_gibbs",0.990673359018284,0.988320671908904,0.136542869907036,0.137088525204476,0.995833858430154,0.0448682400870784,0.998201644615628,0.0511134607007883,0.998201058538945,0.0511182914461716,0.0341171798481484,0.608330875588204,175.556999999993,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.535688163535493,0.513455845914928,0.807315449402844,0.161883827556992,NA,0.0754246192536621,0.49958498555712,0.124923699096358,6,6,0.988029690246237,"alpha+loading+joint_mu+joint_var+joint_weight",0.986932664384435,0.963332466887918,"alpha+loading+joint_mu+joint_log_var",6,1000,0.0877784999999967,FALSE,2000,0.0746905759670637,0.0764880914189307,1
"rep20_balanced_moderate_few_positive_cross_n2000_p500_H3_G2-2-2_sep1",20,"n2000p500",2000,500,3,"2-2-2","2-2-2",8,1,"equal","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_few_positive_cross","balanced","map",0,0.01,2,1.5,1,TRUE,18,"independent_marginal_mixture",0.991356341014941,0.988022453618666,0.131448371276067,0.133201974094768,0.996252206348614,0.0417583486299711,0.998362024078713,0.0494066690857486,NA,NA,0.0339270032248133,0.912280166680572,31.2799999999988,FALSE,10,10,TRUE,TRUE,3,3,TRUE,"posterior_objective",0.0207414192104637,0.0341793148868003,0.999856075844214,0.985668676948525,NA,0.00346221917367724,0.0214163669311905,0.00493594749977083,8,8,0.997391184912967,"alpha+loading+joint_mu+joint_var+joint_weight",0.996473699910917,0.996654360403058,"alpha+loading+joint_mu+joint_log_var",NA,NA,NA,NA,NA,NA,NA,NA
"rep20_balanced_moderate_few_positive_cross_n2000_p500_H3_G2-2-2_sep1",20,"n2000p500",2000,500,3,"2-2-2","2-2-2",8,1,"equal","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_few_positive_cross","balanced",NA,NA,NA,NA,NA,NA,FALSE,18,"joint_mixture_factor_gibbs",0.990635211446717,0.987738086850529,0.136821826906419,0.137857098230699,0.995781811235329,0.0456831594389485,0.998298502779391,0.0508265583073683,0.998300454925594,0.0508016819304201,0.034146263803574,0.511603736264164,177.305,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.584805784244036,0.60427191308742,0.768397647076527,0.121777221861262,NA,0.103227037239137,0.75351354195881,0.131279814419425,5,5,0.985624074135028,"alpha+loading+joint_mu+joint_var+joint_weight",0.985226855527962,0.951808072533347,"alpha+loading+joint_mu+joint_log_var",5,1000,0.0886525000000001,FALSE,2000,0.0494864293440467,0.0831568019741382,1
"rep21_balanced_moderate_few_positive_cross_n2000_p500_H3_G2-2-2_sep1",21,"n2000p500",2000,500,3,"2-2-2","2-2-2",8,1,"equal","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_few_positive_cross","balanced","map",0,0.01,2,1.5,1,TRUE,18,"independent_marginal_mixture",0.991199308585324,0.987991694373865,0.132637031548269,0.133647807317609,0.996256308807873,0.0421745510459495,0.99832421688376,0.0490132977319671,NA,NA,0.033996957865834,0.916314744850541,31.0489999999991,FALSE,10,10,TRUE,TRUE,3,3,TRUE,"posterior_objective",0.0198335229229688,0.0338503496487075,0.999909762256743,0.99100459972209,NA,0.00269825103409276,0.0167720037501105,0.00423440999471525,8,8,0.997456081212711,"alpha+loading+joint_mu+joint_var+joint_weight",0.99648333062174,0.996615188245161,"alpha+loading+joint_mu+joint_log_var",NA,NA,NA,NA,NA,NA,NA,NA
"rep21_balanced_moderate_few_positive_cross_n2000_p500_H3_G2-2-2_sep1",21,"n2000p500",2000,500,3,"2-2-2","2-2-2",8,1,"equal","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_few_positive_cross","balanced",NA,NA,NA,NA,NA,NA,FALSE,18,"joint_mixture_factor_gibbs",0.990624142576064,0.986882203991142,0.136902662466618,0.138105355218826,0.996170236225837,0.0449941049324289,0.998466552258339,0.0472055699207008,0.998467668801402,0.0471898278901323,0.0339424354011842,0.604944609773464,175.103999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.509310088904843,0.517300241607781,0.827568640505345,0.174706782569075,NA,0.076747782316096,0.502089862076012,0.124931063442927,6,6,0.989239499095732,"alpha+loading+joint_mu+joint_var+joint_weight",0.98712259752824,0.965761036297319,"alpha+loading+joint_mu+joint_log_var",6,1000,0.0875519999999997,FALSE,2000,0.0511930499866801,0.075828181797369,1
"rep22_balanced_moderate_few_positive_cross_n2000_p500_H3_G2-2-2_sep1",22,"n2000p500",2000,500,3,"2-2-2","2-2-2",8,1,"equal","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_few_positive_cross","balanced","map",0,0.01,2,1.5,1,TRUE,18,"independent_marginal_mixture",0.991459197043289,0.989572597230153,0.130663939594932,0.131369286268882,0.995988982709102,0.0427091468158363,0.998080389992736,0.0502655724763263,NA,NA,0.0344767678622425,0.892826694877231,34.0970000000016,FALSE,10,10,TRUE,TRUE,3,3,TRUE,"posterior_objective",0.0216611494645168,0.0421839892455367,0.999848818265915,0.973144735473194,NA,0.00288431270256913,0.0207227888133845,0.00407367521462859,8,8,0.997220142555688,"alpha+loading+joint_mu+joint_var+joint_weight",0.996354722547459,0.996869796039305,"alpha+loading+joint_mu+joint_log_var",NA,NA,NA,NA,NA,NA,NA,NA
"rep22_balanced_moderate_few_positive_cross_n2000_p500_H3_G2-2-2_sep1",22,"n2000p500",2000,500,3,"2-2-2","2-2-2",8,1,"equal","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_few_positive_cross","balanced",NA,NA,NA,NA,NA,NA,FALSE,18,"joint_mixture_factor_gibbs",0.991053920196169,0.989368409286312,0.133728132896031,0.134332349067495,0.996071046701939,0.0441226781342689,0.998384147838812,0.0460615376048917,0.998384769388398,0.046050612875831,0.0345719512714102,0.601338719453264,174.196000000004,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.460267782147038,0.505328742025069,0.862403816157427,0.130566421575217,NA,0.0806485346859669,0.502711009328485,0.124935812221633,6,6,0.98965523416489,"alpha+loading+joint_mu+joint_var+joint_weight",0.987476785583757,0.965350647716907,"alpha+loading+joint_mu+joint_log_var",6,1000,0.0870980000000018,FALSE,2000,0.0503192586897168,0.0955512092578813,1
