"block_label","loading_design","H_true","G_true","n","p","n_reps","mean_factor_score_rmse","sd_factor_score_rmse","lower_factor_score_rmse","upper_factor_score_rmse"
"balanced","balanced_moderate_dense_signed_cross",4,"2-2-2-2",2000,1000,25,0.099261520238415,0.00167807768873453,0.095905364860946,0.102617675615884
"balanced","balanced_moderate_dense_signed_cross",4,"2-2-2-2",100,2000,25,0.127135426906071,0.0177211335983628,0.0916931597093452,0.162577694102797
"balanced","balanced_moderate_dense_signed_cross",4,"2-2-2-2",500,2000,25,0.0815665009197749,0.00448486387764494,0.072596773164485,0.0905362286750648
"balanced","balanced_moderate_dense_signed_cross",4,"2-2-2-2",1000,2000,25,0.0749406989555003,0.00240450326940163,0.0701316924166971,0.0797497054943036
"balanced","balanced_moderate_dense_signed_cross",4,"2-2-2-2",2000,2000,25,0.0734994061550899,0.0017199150154054,0.0700595761242791,0.0769392361859007
"balanced","balanced_moderate_dense_signed_cross",4,"3-3-3-3",100,250,25,0.388530208970757,0.132669829479899,0.12319055001096,0.653869867930554
"balanced","balanced_moderate_dense_signed_cross",4,"3-3-3-3",500,250,25,0.209120761982935,0.00794271232428106,0.193235337334373,0.225006186631497
"balanced","balanced_moderate_dense_signed_cross",4,"3-3-3-3",1000,250,25,0.202383960870798,0.0035583694495841,0.19526722197163,0.209500699769967
"balanced","balanced_moderate_dense_signed_cross",4,"3-3-3-3",2000,250,25,0.208358006129165,0.0124957914937881,0.183366423141589,0.233349589116741
"balanced","balanced_moderate_dense_signed_cross",4,"3-3-3-3",100,500,25,0.367176401408282,0.174801212086396,0.0175739772354891,0.716778825581075
"balanced","balanced_moderate_dense_signed_cross",4,"3-3-3-3",500,500,25,0.156550710346459,0.00626754035209458,0.14401562964227,0.169085791050648
"balanced","balanced_moderate_dense_signed_cross",4,"3-3-3-3",1000,500,25,0.147022791307821,0.00307515346025267,0.140872484387316,0.153173098228326
"balanced","balanced_moderate_dense_signed_cross",4,"3-3-3-3",2000,500,25,0.145229517363047,0.00286912317155598,0.139491271019935,0.150967763706159
"balanced","balanced_moderate_dense_signed_cross",4,"3-3-3-3",100,1000,25,0.283003090972042,0.157934330568418,-0.0328655701647941,0.598871752108878
"balanced","balanced_moderate_dense_signed_cross",4,"3-3-3-3",500,1000,25,0.116027792881547,0.00699764680712395,0.102032499267299,0.130023086495795
"balanced","balanced_moderate_dense_signed_cross",4,"3-3-3-3",1000,1000,25,0.109243282759029,0.00436938292641066,0.100504516906207,0.11798204861185
"balanced","balanced_moderate_dense_signed_cross",4,"3-3-3-3",2000,1000,25,0.105154129218947,0.00175169509054045,0.101650739037866,0.108657519400028
"balanced","balanced_moderate_dense_signed_cross",4,"3-3-3-3",100,2000,25,0.278828828873884,0.173751725266441,-0.068674621658999,0.626332279406766
"balanced","balanced_moderate_dense_signed_cross",4,"3-3-3-3",500,2000,25,0.0909891170445224,0.00808006693280598,0.0748289831789104,0.107149250910134
"balanced","balanced_moderate_dense_signed_cross",4,"3-3-3-3",1000,2000,25,0.0830555042774749,0.00414526744526494,0.074764969386945,0.0913460391680048
"balanced","balanced_moderate_dense_signed_cross",4,"3-3-3-3",2000,2000,25,0.0782292498355382,0.00240941841916372,0.0734104129972108,0.0830480866738657
"balanced","balanced_moderate_few_positive_cross",3,"2-2-2",100,250,25,0.197564467866744,0.0135661448129175,0.170432178240909,0.224696757492579
"balanced","balanced_moderate_few_positive_cross",3,"2-2-2",500,250,25,0.176843603441436,0.00560503044410948,0.165633542553217,0.188053664329655
"balanced","balanced_moderate_few_positive_cross",3,"2-2-2",1000,250,25,0.175548413576517,0.00385340550016187,0.167841602576193,0.183255224576841
