"loading_design","method","H_true","G_true","n","p","n_reps","mean_seconds","median_seconds","mean_log_seconds","sd_log_seconds","lower_log_seconds","upper_log_seconds","geometric_mean_seconds"
"balanced_moderate_dense_signed_cross","independent_marginal_mixture",3,2,100,500,25,7.9674800000008,8.00300000001153,2.07472002845195,0.0367421475535707,2.00123573334481,2.14820432355909,7.96231692475075
"balanced_moderate_dense_signed_cross","joint_mixture_factor_gibbs",3,2,100,500,25,10.4090000000008,10.3940000000002,2.34263369998665,0.00878508369866563,2.32506353258932,2.36020386738398,10.4086136610354
"balanced_moderate_dense_signed_cross","independent_marginal_mixture",3,2,500,500,25,30.7989999999985,30.8660000000091,3.42717780818193,0.0251826034292448,3.37681260132344,3.47754301504042,30.7896257881736
"balanced_moderate_dense_signed_cross","joint_mixture_factor_gibbs",3,2,500,500,25,42.6713999999972,42.6560000000027,3.75347537331713,0.0105638498560429,3.73234767360504,3.77460307302921,42.6691157210845
"balanced_moderate_dense_signed_cross","independent_marginal_mixture",3,2,1000,500,25,56.9132400000014,57.0060000000085,4.04080210948552,0.0389407304735868,3.96292064853835,4.1186835704327,56.8719420394051
"balanced_moderate_dense_signed_cross","joint_mixture_factor_gibbs",3,2,1000,500,25,84.5107200000016,84.2810000000027,4.4366629561786,0.0211172102295137,4.39442853571957,4.47889737663762,84.4925154748947
"balanced_moderate_dense_signed_cross","independent_marginal_mixture",3,2,2000,500,25,131.75436,120.584000000003,4.86293529057864,0.190304722628976,4.48232584532068,5.24354473583659,129.403482008279
"balanced_moderate_dense_signed_cross","joint_mixture_factor_gibbs",3,2,2000,500,25,204.163800000002,182.777999999991,5.29998474713506,0.194496244084637,4.91099225896578,5.68897723530433,200.33375428779
"balanced_moderate_dense_signed_cross","independent_marginal_mixture",3,3,100,500,25,6.91343999999925,6.83199999999488,1.9329529512929,0.0326694806581798,1.86761398997654,1.99829191260926,6.90988469733907
"balanced_moderate_dense_signed_cross","joint_mixture_factor_gibbs",3,3,100,500,25,11.814279999999,11.8429999999935,2.4692556016462,0.0105489838637895,2.44815763391862,2.49035356937378,11.8136495164393
"balanced_moderate_dense_signed_cross","independent_marginal_mixture",3,3,500,500,25,37.2634399999998,37.3949999999895,3.6172282497918,0.0405958992016225,3.53603645138855,3.69842004819504,37.234220703033
"balanced_moderate_dense_signed_cross","joint_mixture_factor_gibbs",3,3,500,500,25,44.3933600000007,44.2710000000079,3.79304379627283,0.00979937964399994,3.77344503698483,3.81264255556083,44.3913129613962
"balanced_moderate_dense_signed_cross","independent_marginal_mixture",3,3,1000,500,25,224.629480000001,72.9859999999899,4.65416269257076,0.904634186795859,2.84489431897904,6.46343106616248,105.021248103014
"balanced_moderate_dense_signed_cross","joint_mixture_factor_gibbs",3,3,1000,500,25,164.385159999999,90.4499999999971,4.75401549892552,0.63814597130883,3.47772355630786,6.03030744154318,116.049346199941
"balanced_moderate_dense_signed_cross","independent_marginal_mixture",3,3,2000,500,25,143.635279999998,141.569000000003,4.96520837576913,0.0651885256280085,4.83483132451312,5.09558542702515,143.338415414208
"balanced_moderate_dense_signed_cross","joint_mixture_factor_gibbs",3,3,2000,500,25,180.11524,174.850000000006,5.19217708206807,0.0540446222918179,5.08408783748443,5.3002663266517,179.859696321341
"balanced_moderate_dense_signed_cross","independent_marginal_mixture",4,2,100,500,25,8.89612000000023,8.79299999999057,2.18497768896744,0.0363274540239172,2.11232278091961,2.25763259701527,8.8904501960348
"balanced_moderate_dense_signed_cross","joint_mixture_factor_gibbs",4,2,100,500,25,11.3540800000005,11.3450000000012,2.42954671536317,0.00796338582623994,2.41361994371069,2.44547348701565,11.3537344400242
"balanced_moderate_dense_signed_cross","independent_marginal_mixture",4,2,500,500,25,37.253839999999,37.3619999999937,3.61706722124158,0.0378721353524372,3.5413229505367,3.69281149194645,37.228225413174
"balanced_moderate_dense_signed_cross","joint_mixture_factor_gibbs",4,2,500,500,25,44.6911999999988,44.7590000000055,3.79970647600151,0.0120919279816227,3.77552262003827,3.82389033196476,44.688065548348
"balanced_moderate_dense_signed_cross","independent_marginal_mixture",4,2,1000,500,25,106.12268,102.801999999996,4.60780703665961,0.319452747302635,3.96890154205434,5.24671253126488,100.264033021992
"balanced_moderate_dense_signed_cross","joint_mixture_factor_gibbs",4,2,1000,500,25,364.131679999998,132.788,4.9310945592959,0.816017803155012,3.29905895298588,6.56313016560593,138.53105984529
"balanced_moderate_dense_signed_cross","independent_marginal_mixture",4,2,2000,500,25,143.439520000003,142.784,4.96391095557886,0.06451398968102,4.83488297621682,5.0929389349409,143.152565848567
"balanced_moderate_dense_signed_cross","joint_mixture_factor_gibbs",4,2,2000,500,25,184.159040000002,182.902000000002,5.214589161371,0.0502442890763719,5.11410058321825,5.31507773952374,183.936237342797
"balanced_moderate_dense_signed_cross","independent_marginal_mixture",4,3,100,500,25,8.35080000000075,8.37200000000303,2.12211113222817,0.0226401899402475,2.07683075234768,2.16739151210867,8.34874419904394
"balanced_moderate_dense_signed_cross","joint_mixture_factor_gibbs",4,3,100,500,25,16.1890399999998,16.1899999999878,2.78429853597272,0.00864814929568702,2.76700223738135,2.8015948345641,16.1884582719165
"balanced_moderate_dense_signed_cross","independent_marginal_mixture",4,3,500,500,25,43.74212,43.6990000000078,3.77793687529962,0.0280030430171009,3.72193078926542,3.83394296133382,43.72573696463
"balanced_moderate_dense_signed_cross","joint_mixture_factor_gibbs",4,3,500,500,25,51.553839999999,51.3689999999915,3.94258481567934,0.00932250135314764,3.92393981297304,3.96122981838564,51.5516808263056
"balanced_moderate_dense_signed_cross","independent_marginal_mixture",4,3,1000,500,25,86.8308000000019,87.1240000000107,4.46308157782514,0.0429390309855893,4.37720351585396,4.54895963979632,86.7544381566165
"balanced_moderate_dense_signed_cross","joint_mixture_factor_gibbs",4,3,1000,500,25,101.275800000002,101.397000000012,4.61764103917337,0.0207158286828706,4.57620938180763,4.65907269653912,101.254893853423
"balanced_moderate_dense_signed_cross","independent_marginal_mixture",4,3,2000,500,25,164.426159999999,164.156999999977,5.10209484656425,0.0275973277143526,5.04690019113554,5.15728950199295,164.365868175714
"balanced_moderate_dense_signed_cross","joint_mixture_factor_gibbs",4,3,2000,500,25,191.625880000001,192.002000000008,5.25546672965194,0.0127789612299839,5.22990880719197,5.2810246521119,191.610895474245
"balanced_moderate_few_positive_cross","independent_marginal_mixture",3,2,100,500,25,12.55792,12.498,2.52916296286194,0.0497448994080612,2.42967316404582,2.62865276167806,12.5430027822811
"balanced_moderate_few_positive_cross","joint_mixture_factor_gibbs",3,2,100,500,25,15.94612,15.951,2.76919799957968,0.00605477568694399,2.7570884482058,2.78130755095357,15.9458403095727
"balanced_moderate_few_positive_cross","independent_marginal_mixture",3,2,500,500,25,42.6824800000001,42.6570000000002,3.75332464308494,0.0311044864432389,3.69111567019846,3.81553361597142,42.662684680053
"balanced_moderate_few_positive_cross","joint_mixture_factor_gibbs",3,2,500,500,25,64.62152,64.844,4.16849610857219,0.0103575687161858,4.14778097113982,4.18921124600456,64.6182002401863
"balanced_moderate_few_positive_cross","independent_marginal_mixture",3,2,1000,500,25,53.4101599999997,53.1000000000022,3.976766185628,0.0505096121130375,3.87574696140193,4.07778540985408,53.3442496003403
"balanced_moderate_few_positive_cross","joint_mixture_factor_gibbs",3,2,1000,500,25,84.8601999999995,84.8070000000007,4.44081219943189,0.0200483588672827,4.40071548169732,4.48090891716645,84.84382380252
"balanced_moderate_few_positive_cross","independent_marginal_mixture",3,2,2000,500,25,102.53644,103.07,4.62973479014925,0.031792269404597,4.56615025134006,4.69331932895845,102.486879975761
"balanced_moderate_few_positive_cross","joint_mixture_factor_gibbs",3,2,2000,500,25,167.49652,167.548999999999,5.12091769695236,0.0096667462465108,5.10158420445934,5.14025118944538,167.489003263608
"balanced_moderate_few_positive_cross","independent_marginal_mixture",3,3,100,500,25,10.57452,10.4919999999997,2.3577636107758,0.037674114178279,2.28241538241924,2.43311183913236,10.567292427986
"balanced_moderate_few_positive_cross","joint_mixture_factor_gibbs",3,3,100,500,25,17.93184,17.9590000000001,2.88651665008842,0.0112843563737797,2.86394793734086,2.90908536283598,17.9307416444498
"balanced_moderate_few_positive_cross","independent_marginal_mixture",3,3,500,500,25,80.8446799999999,50.494999999999,3.90801651337464,0.658028152878587,2.59196020761747,5.22407281913181,49.8000761613911
"balanced_moderate_few_positive_cross","joint_mixture_factor_gibbs",3,3,500,500,25,142.45316,67.25,4.32413331398377,0.862744051668646,2.59864521064648,6.04962141732106,75.5000496585401
"balanced_moderate_few_positive_cross","independent_marginal_mixture",3,3,1000,500,25,65.3260800000001,65.2570000000014,4.17910168703852,0.0245932535433344,4.12991517995185,4.22828819412519,65.3071605869503
"balanced_moderate_few_positive_cross","joint_mixture_factor_gibbs",3,3,1000,500,25,87.5730800000003,87.5110000000022,4.4723692576931,0.0147403306262129,4.44288859644067,4.50184991894552,87.5639389785623
"balanced_moderate_few_positive_cross","independent_marginal_mixture",3,3,2000,500,25,128.350880000001,128.050000000003,4.85424369651712,0.0330463654745981,4.78815096556792,4.92033642746631,128.283633158119
"balanced_moderate_few_positive_cross","joint_mixture_factor_gibbs",3,3,2000,500,25,173.06188,173.163999999997,5.15359256451361,0.0108572300232167,5.13187810446718,5.17530702456004,173.05207564895
"balanced_moderate_few_positive_cross","independent_marginal_mixture",4,2,100,500,25,14.30896,14.441,2.65999240450282,0.0431379755295189,2.57371645344379,2.74626835556186,14.2961805116665
"balanced_moderate_few_positive_cross","joint_mixture_factor_gibbs",4,2,100,500,25,17.36872,17.3710000000001,2.85464141111434,0.00783445991869017,2.83897249127696,2.87031033095172,17.3682080445001
"balanced_moderate_few_positive_cross","independent_marginal_mixture",4,2,500,500,25,51.25904,51.335,3.93621106550194,0.0375757228369279,3.86105961982809,4.0113625111758,51.224148205868
"balanced_moderate_few_positive_cross","joint_mixture_factor_gibbs",4,2,500,500,25,67.7369200000001,67.6360000000004,4.21557206663101,0.0110883112169021,4.1933954441972,4.23774868906481,67.7329025232572
"balanced_moderate_few_positive_cross","independent_marginal_mixture",4,2,1000,500,25,66.4719199999998,66.4140000000007,4.19577626827065,0.0458617530615547,4.10405276214754,4.28749977439376,66.4052598710598
"balanced_moderate_few_positive_cross","joint_mixture_factor_gibbs",4,2,1000,500,25,90.4544399999996,90.3080000000009,4.50458034898619,0.0235397514632697,4.45750084605965,4.55165985191273,90.4303868815099
"balanced_moderate_few_positive_cross","independent_marginal_mixture",4,2,2000,500,25,122.99852,123.571000000004,4.81168330347484,0.0319671111364911,4.74774908120186,4.87561752574783,122.93838605378
"balanced_moderate_few_positive_cross","joint_mixture_factor_gibbs",4,2,2000,500,25,173.447679999999,173.127,5.15582037166782,0.0107657587905605,5.1342888540867,5.17735188924894,173.438032059728
"balanced_moderate_few_positive_cross","independent_marginal_mixture",4,3,100,500,25,12.77488,12.7800000000002,2.54713087885181,0.0270722296634982,2.49298641952482,2.60127533817881,12.770411313094
"balanced_moderate_few_positive_cross","joint_mixture_factor_gibbs",4,3,100,500,25,24.42764,24.4009999999998,3.19569913535462,0.00579870995687896,3.18410171544086,3.20729655526838,24.4272456748538
"balanced_moderate_few_positive_cross","independent_marginal_mixture",4,3,500,500,25,113.30572,40.5069999999978,3.94748596019317,0.877368954286441,2.19274805162029,5.70222386876605,51.8049632438193
"balanced_moderate_few_positive_cross","joint_mixture_factor_gibbs",4,3,500,500,25,135.05772,51.1970000000001,4.23677883645328,0.85513460672877,2.52650962299574,5.94704804991081,69.1846374945141
"balanced_moderate_few_positive_cross","independent_marginal_mixture",4,3,1000,500,25,76.7956000000006,76.9650000000038,4.3407176728426,0.0299156742094418,4.28088632442371,4.40054902126148,76.7626100151021
"balanced_moderate_few_positive_cross","joint_mixture_factor_gibbs",4,3,1000,500,25,97.4073999999995,97.314999999995,4.57888845198718,0.00534806964628582,4.56819231269461,4.58958459127976,97.4060624950559
"balanced_moderate_few_positive_cross","independent_marginal_mixture",4,3,2000,500,25,151.25328,150.539000000004,5.01845492982489,0.0320927914502412,4.95426934692441,5.08264051272538,151.177543339044
"balanced_moderate_few_positive_cross","joint_mixture_factor_gibbs",4,3,2000,500,25,190.89608,190.419999999998,5.25147936600704,0.0226420469821139,5.20619527204281,5.29676345997127,190.84839435055
