"scenario","rep","np_regime","n","p","H_true","G_true","G_config","K_joint","separation","mixture_param_mode","mixture_variance_mode","intercept_mode","intercept_sd","intercept_block_span","intercept_clip","loading_design","block_size_mode","mixture_update","mu_prior_mean","mu_prior_kappa","var_prior_shape","var_prior_scale","weight_prior_alpha","parallel_enabled","parallel_workers","method","mean_factor_abs_cor","min_factor_abs_cor","factor_score_rmse","factor_score_raw_rmse","lambda_corr","lambda_rmse","alpha_corr","alpha_rmse","alpha_raw_corr","alpha_raw_rmse","probability_rmse","joint_profile_ari","seconds","pretraining_converged","pretraining_completed_iter","selected_pretraining_iteration","pretraining_return_best_iteration","refinement_converged","refinement_completed_iter","selected_refinement_iteration","refinement_return_best_iteration","refinement_stopping_objective","joint_mu_rmse","joint_var_rmse","joint_mu_corr","joint_var_corr","joint_weight_corr","joint_weight_rmse","joint_weight_l1","joint_weight_max_abs_error","est_effective_classes_001","est_effective_classes_01","flat_parameter_corr","flat_parameter_blocks","all_parameter_corr","all_parameter_corr_raw","all_parameter_blocks","occupied_classes","posterior_kept_draws","mfa_seconds_per_iter","mfa_converged","mfa_completed_iter","mfa_final_lambda_rel_range","mfa_final_intercept_rel_range","mfa_final_occupied_range"
"rep5_balanced_moderate_dense_signed_cross_n2000_p2000_H3_G3-3-3_sep1",5,"n2000p2000",2000,2000,3,"3-3-3","3-3-3",27,1,"equal","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_dense_signed_cross","moderate_ifeval_like","map",0,0.01,2,1.5,1,TRUE,18,"independent_marginal_mixture",0.997108680725974,0.996394192409848,0.0760246488237662,0.0841913195587889,0.996145578004332,0.0453909218106917,0.998219109335723,0.0516631954699295,NA,NA,0.023799104747106,0.262578443935013,171.531000000003,FALSE,10,10,TRUE,TRUE,3,3,TRUE,"posterior_objective",0.147723083743143,0.0803108773181612,0.99666668107252,0.970670750319342,0.842890326385215,0.0123057945991962,0.275975220512142,0.0245490955770546,27,27,0.996580608052799,"alpha+loading+joint_mu+joint_var+joint_weight",0.993560466539352,0.996496020916063,"alpha+loading+joint_mu+joint_log_var+joint_weight",NA,NA,NA,NA,NA,NA,NA,NA
"rep6_balanced_moderate_dense_signed_cross_n2000_p2000_H3_G3-3-3_sep1",6,"n2000p2000",2000,2000,3,"3-3-3","3-3-3",27,1,"equal","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_dense_signed_cross","moderate_ifeval_like","map",0,0.01,2,1.5,1,TRUE,18,"independent_marginal_mixture",0.997005331002835,0.996479828540336,0.0773714632492709,0.0798064098331732,0.996249117820613,0.0453751989559563,0.998627594004707,0.0449261900172327,NA,NA,0.0236839514199366,0.254462327190931,173.414999999994,FALSE,10,10,TRUE,TRUE,3,3,TRUE,"posterior_objective",0.19329919659907,0.129469466319576,0.994064208874106,0.87556518159298,0.850134236163326,0.0154272489627129,0.336522446390226,0.036964244099857,27,27,0.996581213741619,"alpha+loading+joint_mu+joint_var+joint_weight",0.99202224855031,0.995967691570635,"alpha+loading+joint_mu+joint_log_var+joint_weight",NA,NA,NA,NA,NA,NA,NA,NA
"rep7_balanced_moderate_dense_signed_cross_n2000_p2000_H3_G3-3-3_sep1",7,"n2000p2000",2000,2000,3,"3-3-3","3-3-3",27,1,"equal","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_dense_signed_cross","moderate_ifeval_like","map",0,0.01,2,1.5,1,TRUE,18,"independent_marginal_mixture",0.997214795942808,0.996446965293816,0.0746165056159074,0.0806174149645818,0.996206630727589,0.0471037698731131,0.998363221453763,0.0503151225575265,NA,NA,0.0238516584478229,0.282178854621059,174.298999999999,FALSE,10,10,TRUE,TRUE,3,3,TRUE,"posterior_objective",0.122283468843445,0.0877524971328854,0.994880477947578,0.94270744965945,0.830373692761956,0.0093513012911102,0.210621821666427,0.0189487549830486,27,27,0.996874400780867,"alpha+loading+joint_mu+joint_var+joint_weight",0.995025875002076,0.996853302251793,"alpha+loading+joint_mu+joint_log_var+joint_weight",NA,NA,NA,NA,NA,NA,NA,NA
"rep8_balanced_moderate_dense_signed_cross_n2000_p2000_H3_G3-3-3_sep1",8,"n2000p2000",2000,2000,3,"3-3-3","3-3-3",27,1,"equal","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_dense_signed_cross","moderate_ifeval_like","map",0,0.01,2,1.5,1,TRUE,18,"independent_marginal_mixture",0.997219728520278,0.996334690391718,0.0745504036740425,0.0824430794200106,0.996327802514367,0.044848890261262,0.997933090993377,0.0544157281726902,NA,NA,0.0238112028023189,0.25455753765822,175.288,FALSE,10,10,TRUE,TRUE,3,3,TRUE,"posterior_objective",0.186543795954048,0.110949547295136,0.998642380670162,0.9412066635798,0.877311440159534,0.0142638111218677,0.302509525684401,0.0383954438178677,27,26,0.996107411482008,"alpha+loading+joint_mu+joint_var+joint_weight",0.99249873849573,0.995973750249002,"alpha+loading+joint_mu+joint_log_var+joint_weight",NA,NA,NA,NA,NA,NA,NA,NA
"rep9_balanced_moderate_dense_signed_cross_n2000_p2000_H3_G3-3-3_sep1",9,"n2000p2000",2000,2000,3,"3-3-3","3-3-3",27,1,"equal","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_dense_signed_cross","moderate_ifeval_like","map",0,0.01,2,1.5,1,TRUE,18,"independent_marginal_mixture",0.997254632578598,0.996547078105925,0.0740809656752976,0.0807015894546983,0.996193429847141,0.0454034229346364,0.99863336696672,0.0473954160302689,NA,NA,0.0238181167828693,0.248316774609415,176.542000000001,FALSE,10,10,TRUE,TRUE,3,3,TRUE,"posterior_objective",0.238152389260224,0.132212261616311,0.98414941613134,0.836462052226461,0.655079569225745,0.0152061777433471,0.357435515222993,0.02747744944116,27,27,0.996243489489381,"alpha+loading+joint_mu+joint_var+joint_weight",0.99183731018904,0.995445349017677,"alpha+loading+joint_mu+joint_log_var+joint_weight",NA,NA,NA,NA,NA,NA,NA,NA
"rep10_balanced_moderate_dense_signed_cross_n2000_p2000_H3_G3-3-3_sep1",10,"n2000p2000",2000,2000,3,"3-3-3","3-3-3",27,1,"equal","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_dense_signed_cross","moderate_ifeval_like","map",0,0.01,2,1.5,1,TRUE,18,"independent_marginal_mixture",0.996937075595937,0.996169671879973,0.0782482324638866,0.0796544670573244,0.99611565946348,0.047566289095802,0.998565734447777,0.045569530762156,NA,NA,0.0239822871019183,0.251826915085553,174.784999999989,FALSE,10,10,TRUE,TRUE,3,3,TRUE,"posterior_objective",0.218911319945731,0.126657075069839,0.988544824373017,0.895988785292082,0.728738819886792,0.0158419104421369,0.365895341539899,0.0350353795462536,27,27,0.996295320841371,"alpha+loading+joint_mu+joint_var+joint_weight",0.991746811630449,0.995890324485596,"alpha+loading+joint_mu+joint_log_var+joint_weight",NA,NA,NA,NA,NA,NA,NA,NA
"rep11_balanced_moderate_dense_signed_cross_n2000_p2000_H3_G3-3-3_sep1",11,"n2000p2000",2000,2000,3,"3-3-3","3-3-3",27,1,"equal","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_dense_signed_cross","moderate_ifeval_like","map",0,0.01,2,1.5,1,TRUE,18,"independent_marginal_mixture",0.9971438920849,0.996353124608399,0.0755603052024499,0.08071255843986,0.996282724075861,0.0466352302843985,0.998406040104082,0.0506947274287318,NA,NA,0.0237110191820954,0.265429470879699,174.339999999997,FALSE,10,10,TRUE,TRUE,3,3,TRUE,"posterior_objective",0.179641168297466,0.104866174755595,0.993007128397218,0.916043688543067,0.820131417444957,0.0127350732221743,0.303434020083636,0.0233677208629292,27,27,0.996623251951345,"alpha+loading+joint_mu+joint_var+joint_weight",0.993595575946979,0.996345724885814,"alpha+loading+joint_mu+joint_log_var+joint_weight",NA,NA,NA,NA,NA,NA,NA,NA
"rep12_balanced_moderate_dense_signed_cross_n2000_p2000_H3_G3-3-3_sep1",12,"n2000p2000",2000,2000,3,"3-3-3","3-3-3",27,1,"equal","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_dense_signed_cross","moderate_ifeval_like","map",0,0.01,2,1.5,1,TRUE,18,"independent_marginal_mixture",0.997309332914614,0.996975181550943,0.0733392357724455,0.0801172553325954,0.996474743579912,0.0434869206527002,0.99810811076543,0.0479685487514446,NA,NA,0.023915833342829,0.268263325060738,174.646999999997,FALSE,10,10,TRUE,TRUE,3,3,TRUE,"posterior_objective",0.155743148747501,0.100212663454421,0.992243490072073,0.953182545136571,0.740786248009524,0.013985576790733,0.284197588008424,0.0382840726635044,27,27,0.99673518565369,"alpha+loading+joint_mu+joint_var+joint_weight",0.993024725107723,0.996639694399836,"alpha+loading+joint_mu+joint_log_var+joint_weight",NA,NA,NA,NA,NA,NA,NA,NA
"rep13_balanced_moderate_dense_signed_cross_n2000_p2000_H3_G3-3-3_sep1",13,"n2000p2000",2000,2000,3,"3-3-3","3-3-3",27,1,"equal","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_dense_signed_cross","moderate_ifeval_like","map",0,0.01,2,1.5,1,TRUE,18,"independent_marginal_mixture",0.997221863480559,0.996674734146052,0.0745217746860777,0.0792120929250817,0.996714025404338,0.0444185766008511,0.99850309062854,0.0485534138706864,NA,NA,0.0238617876939356,0.273558149077472,173.71100000001,FALSE,10,10,TRUE,TRUE,3,3,TRUE,"posterior_objective",0.123333581523051,0.0916402706348784,0.995691274627808,0.932930540890663,0.915219905571678,0.00881782203041234,0.19640520722041,0.021394649864413,27,27,0.997136898355772,"alpha+loading+joint_mu+joint_var+joint_weight",0.995590275406174,0.99703171445003,"alpha+loading+joint_mu+joint_log_var+joint_weight",NA,NA,NA,NA,NA,NA,NA,NA
"rep14_balanced_moderate_dense_signed_cross_n2000_p2000_H3_G3-3-3_sep1",14,"n2000p2000",2000,2000,3,"3-3-3","3-3-3",27,1,"equal","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_dense_signed_cross","moderate_ifeval_like","map",0,0.01,2,1.5,1,TRUE,18,"independent_marginal_mixture",0.996386073304518,0.995883373616762,0.0849955261426742,0.087584066455639,0.995292136929708,0.0531183885914106,0.998500488618423,0.04574799407385,NA,NA,0.0237164666958687,0.274131051222541,179.091,FALSE,10,10,TRUE,TRUE,3,3,TRUE,"posterior_objective",0.194207015799363,0.0911498238281648,0.996746914273174,0.965592489585162,0.854322892568876,0.0138503243893989,0.323289663791871,0.033302846408932,27,26,0.99602750938772,"alpha+loading+joint_mu+joint_var+joint_weight",0.992545248208754,0.996060258046401,"alpha+loading+joint_mu+joint_log_var+joint_weight",NA,NA,NA,NA,NA,NA,NA,NA
