"scenario","rep","np_regime","n","p","H_true","G_true","K_joint","separation","mixture_param_mode","mixture_variance_mode","intercept_mode","intercept_sd","intercept_block_span","intercept_clip","loading_design","block_size_mode","mixture_update","mu_prior_mean","mu_prior_kappa","var_prior_shape","var_prior_scale","weight_prior_alpha","method","mean_factor_abs_cor","min_factor_abs_cor","lambda_corr","lambda_rmse","alpha_corr","alpha_rmse","alpha_raw_corr","alpha_raw_rmse","probability_rmse","joint_profile_ari","seconds","pretraining_converged","pretraining_completed_iter","selected_pretraining_iteration","pretraining_return_best_iteration","refinement_converged","refinement_completed_iter","selected_refinement_iteration","refinement_return_best_iteration","refinement_stopping_objective","joint_mu_rmse","joint_var_rmse","joint_mu_corr","joint_var_corr","joint_weight_corr","joint_weight_rmse","joint_weight_l1","joint_weight_max_abs_error","est_effective_classes_001","est_effective_classes_01","flat_parameter_corr","flat_parameter_blocks","all_parameter_corr","all_parameter_corr_raw","all_parameter_blocks","occupied_classes","posterior_kept_draws","mfa_seconds_per_iter","mfa_converged","mfa_completed_iter","mfa_final_lambda_rel_range","mfa_final_intercept_rel_range","mfa_final_occupied_range"
"rep14_balanced_moderate_few_positive_cross_n500_p500_H4_G2_sep1",14,"n500p500",500,500,4,2,16,1,"equal","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_few_positive_cross","moderate_ifeval_like",NA,NA,NA,NA,NA,NA,"joint_mixture_factor_gibbs",0.445793120547973,0.278093786416815,0.559164866554278,0.837350788443355,0.990174074109225,0.132222011758626,0.990172010697931,0.132216615520571,0.0543474673874596,0.103507364900339,43.5830000000005,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8499006081552,0.802323820175597,0.385541127870946,0.157387149516807,NA,0.140030216804943,1.5986525980754,0.436084509052923,7,3,0.605011917481178,"alpha+loading+joint_mu+joint_var+joint_weight",0.576956885378379,0.537092398860635,"alpha+loading+joint_mu+joint_log_var",5,1000,0.0217915000000003,FALSE,2000,0.850688349410254,0.296252993466506,0
"rep15_balanced_moderate_few_positive_cross_n500_p500_H4_G2_sep1",15,"n500p500",500,500,4,2,16,1,"equal","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_few_positive_cross","moderate_ifeval_like","map",0,0.01,2,1.5,1,"independent_marginal_mixture",0.986938205196095,0.983265812540803,0.981279370718167,0.0904617227034992,0.991771090051611,0.131128104155072,NA,NA,0.0520708348825914,0.860506106146833,32.1360000000004,FALSE,10,10,TRUE,TRUE,3,3,TRUE,"posterior_objective",0.0325475444570168,0.0407445186870028,0.999567122652672,0.986276037723256,NA,0.00365197733730708,0.048315697975657,0.00731314436430242,16,16,0.986255614234097,"alpha+loading+joint_mu+joint_var+joint_weight",0.983526885594635,0.989842053474969,"alpha+loading+joint_mu+joint_log_var",NA,NA,NA,NA,NA,NA,NA,NA
"rep15_balanced_moderate_few_positive_cross_n500_p500_H4_G2_sep1",15,"n500p500",500,500,4,2,16,1,"equal","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_few_positive_cross","moderate_ifeval_like",NA,NA,NA,NA,NA,NA,"joint_mixture_factor_gibbs",0.528348152904995,0.301706219703236,0.633730115472745,0.728089922549306,0.990877517543355,0.145291458769528,0.99087940391699,0.145204767785074,0.0531391715743305,0.102370534108671,43.634,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.784408407405673,0.753265271175511,0.491659924775552,0.0117360950615486,NA,0.13803414233441,1.62174680350807,0.421878546312681,3,3,0.677467795063245,"alpha+loading+joint_mu+joint_var+joint_weight",0.646557854151693,0.595474018806604,"alpha+loading+joint_mu+joint_log_var",3,1000,0.021817,FALSE,2000,0.156921684139371,0.153501719286843,1
"rep16_balanced_moderate_few_positive_cross_n500_p500_H4_G2_sep1",16,"n500p500",500,500,4,2,16,1,"equal","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_few_positive_cross","moderate_ifeval_like","map",0,0.01,2,1.5,1,"independent_marginal_mixture",0.988267085572625,0.98625859771926,0.982663067574185,0.0855793548287542,0.991149506161931,0.104297082164729,NA,NA,0.0524062204034949,0.866675653229735,31.8610000000008,FALSE,10,10,TRUE,TRUE,3,3,TRUE,"posterior_objective",0.0395364711037061,0.0622151281585223,0.999581161773167,0.9778471082729,NA,0.00340258139930715,0.046519128305567,0.00647827770763162,16,16,0.987106763070927,"alpha+loading+joint_mu+joint_var+joint_weight",0.984409146468085,0.989955327561216,"alpha+loading+joint_mu+joint_log_var",NA,NA,NA,NA,NA,NA,NA,NA
"rep16_balanced_moderate_few_positive_cross_n500_p500_H4_G2_sep1",16,"n500p500",500,500,4,2,16,1,"equal","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_few_positive_cross","moderate_ifeval_like",NA,NA,NA,NA,NA,NA,"joint_mixture_factor_gibbs",0.425582260608208,0.252545098483938,0.716762644216464,0.755174631043259,0.990850630876867,0.118353447223583,0.99085961946383,0.118238105736074,0.0579285948863129,0.109993530951531,43.942,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.28573803792611,2.08153488799891,0.269361687444296,0.18883722687077,NA,0.130411950471744,1.49319017275376,0.359591504235004,5,4,0.552939619960651,"alpha+loading+joint_mu+joint_var+joint_weight",0.660122925618085,0.485469797374888,"alpha+loading+joint_mu+joint_log_var",3,1000,0.021971,FALSE,2000,1.96393505196249,0.412805661393874,1
"rep17_balanced_moderate_few_positive_cross_n500_p500_H4_G2_sep1",17,"n500p500",500,500,4,2,16,1,"equal","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_few_positive_cross","moderate_ifeval_like","map",0,0.01,2,1.5,1,"independent_marginal_mixture",0.987622287238449,0.985273094633954,0.981283443743481,0.0930707211628287,0.986296964831109,0.131904340374249,NA,NA,0.0529659732029377,0.870680731973657,32.6210000000001,FALSE,10,10,TRUE,TRUE,3,3,TRUE,"posterior_objective",0.0819664924237768,0.0565321163340511,0.997083602956252,0.994541606990858,NA,0.0101135560772674,0.138402930355021,0.0192800122155448,16,16,0.984217570420021,"alpha+loading+joint_mu+joint_var+joint_weight",0.982735955289018,0.988998059522157,"alpha+loading+joint_mu+joint_log_var",NA,NA,NA,NA,NA,NA,NA,NA
"rep17_balanced_moderate_few_positive_cross_n500_p500_H4_G2_sep1",17,"n500p500",500,500,4,2,16,1,"equal","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_few_positive_cross","moderate_ifeval_like",NA,NA,NA,NA,NA,NA,"joint_mixture_factor_gibbs",0.543261643913903,0.26841775242885,0.621969046555092,0.734053076531492,0.984995104385565,0.140787204005698,0.985011401273338,0.140732710828951,0.0552941845355987,0.119179220315936,43.6810000000005,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.72960320204601,0.705619330561819,0.600772467364755,-0.00725392770831891,NA,0.120186131541722,1.45280871268971,0.355490404235731,5,5,0.66609910538079,"alpha+loading+joint_mu+joint_var+joint_weight",0.633258052197464,0.591997310250541,"alpha+loading+joint_mu+joint_log_var",3,1000,0.0218405000000002,FALSE,2000,0.210666558697516,0.189251823581904,0
"rep18_balanced_moderate_few_positive_cross_n500_p500_H4_G2_sep1",18,"n500p500",500,500,4,2,16,1,"equal","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_few_positive_cross","moderate_ifeval_like","map",0,0.01,2,1.5,1,"independent_marginal_mixture",0.987312651193414,0.984653946867061,0.983003365917788,0.0851933463094822,0.992890678283672,0.110341168472953,NA,NA,0.0527842079497401,0.887186606904123,31.7179999999998,FALSE,10,10,TRUE,TRUE,3,3,TRUE,"posterior_objective",0.0618732937924114,0.0417524235225001,0.997942786533699,0.978906765900925,NA,0.00805035783409625,0.107324957778578,0.0160006693055035,16,16,0.98786442862927,"alpha+loading+joint_mu+joint_var+joint_weight",0.984816086464269,0.990358781730553,"alpha+loading+joint_mu+joint_log_var",NA,NA,NA,NA,NA,NA,NA,NA
"rep18_balanced_moderate_few_positive_cross_n500_p500_H4_G2_sep1",18,"n500p500",500,500,4,2,16,1,"equal","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_few_positive_cross","moderate_ifeval_like",NA,NA,NA,NA,NA,NA,"joint_mixture_factor_gibbs",0.545177684911462,0.315375513881436,0.556488866367843,0.693161994457642,0.992563423849267,0.130629429014189,0.99256882502144,0.130459278280745,0.0583961088934512,0.113017631466222,43.6480000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.35645028485921,0.695217570604432,0.370692348650136,0.226901490399943,NA,0.102319423160359,1.36009620374348,0.27104901900899,6,5,0.643576597766185,"alpha+loading+joint_mu+joint_var+joint_weight",0.587764136439585,0.589890378570912,"alpha+loading+joint_mu+joint_log_var",4,1000,0.0218240000000001,FALSE,2000,0.512927261691917,0.201214299770421,1
"rep19_balanced_moderate_few_positive_cross_n500_p500_H4_G2_sep1",19,"n500p500",500,500,4,2,16,1,"equal","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_few_positive_cross","moderate_ifeval_like","map",0,0.01,2,1.5,1,"independent_marginal_mixture",0.986416638497879,0.98460382520388,0.982798879538785,0.0834960108142553,0.991617110370212,0.0983554480883323,NA,NA,0.0530776885656475,0.832154817149461,30.2839999999997,FALSE,10,10,TRUE,TRUE,3,3,TRUE,"posterior_objective",0.0392333015665294,0.0623678095048004,0.999725934174855,0.988345623261884,NA,0.0035449137160233,0.0461805648269336,0.00647487647523316,16,16,0.987387800566156,"alpha+loading+joint_mu+joint_var+joint_weight",0.984371781032559,0.989728784903561,"alpha+loading+joint_mu+joint_log_var",NA,NA,NA,NA,NA,NA,NA,NA
