"block_size_mode","loading_design","method","H_true","G_true","n","p","n_reps","mean_alpha_rmse","sd_alpha_rmse","lower_alpha_rmse","upper_alpha_rmse","mean_lambda_rmse","sd_lambda_rmse","lower_lambda_rmse","upper_lambda_rmse","mean_joint_mu_rmse","sd_joint_mu_rmse","lower_joint_mu_rmse","upper_joint_mu_rmse","mean_joint_var_rmse","sd_joint_var_rmse","lower_joint_var_rmse","upper_joint_var_rmse","mean_flat_parameter_corr","sd_flat_parameter_corr","lower_flat_parameter_corr","upper_flat_parameter_corr"
"moderate_ifeval_like","balanced_moderate_dense_signed_cross","independent_marginal_mixture",3,2,100,500,25,0.37819338203275,0.0934518282772419,0.191289725478266,0.565097038587233,0.27375380150571,0.0297849458402211,0.214183909825267,0.333323693186152,0.104969521956362,0.0366853770472394,0.031598767861883,0.178340276050841,0.0689603508240355,0.0146869061600704,0.0395865385038946,0.0983341631441764,0.919288207306831,0.0146438193565933,0.890000568593645,0.948575846020018
"moderate_ifeval_like","balanced_moderate_dense_signed_cross","joint_mixture_factor_gibbs",3,2,100,500,25,0.359621042466054,0.104262393606239,0.151096255253576,0.568145829678533,0.951370824739279,0.0793160364691972,0.792738751800884,1.11000289767767,1.81107974423451,0.700066736797351,0.410946270639806,3.21121321782921,0.974983961339645,0.174019590726628,0.62694477988639,1.3230231427929,0.678651883533125,0.070082627044416,0.538486629444293,0.818817137621957
"moderate_ifeval_like","balanced_moderate_dense_signed_cross","independent_marginal_mixture",3,2,500,500,25,0.112624461345477,0.0145356868079346,0.0835530877296078,0.141695834961346,0.0916339762736039,0.00406891116695281,0.0834961539396983,0.0997717986075095,0.0421814541530892,0.0165615305535751,0.00905839304593895,0.0753045152602394,0.0326409474836998,0.0103469615862329,0.011947024311234,0.0533348706561657,0.98832670982321,0.00108763109561057,0.986151447631989,0.990501972014432
"moderate_ifeval_like","balanced_moderate_dense_signed_cross","joint_mixture_factor_gibbs",3,2,500,500,25,0.114695771788024,0.0162787536592904,0.0821382644694436,0.147253279106605,0.296575565667014,0.17146849827211,-0.0463614308772063,0.639512562211234,0.596458303601152,0.0734524712036618,0.449553361193828,0.743363246008475,0.507275440817842,0.0710401023222386,0.365195236173364,0.649355645462319,0.898910168995997,0.0781018121260268,0.742706544743943,1.05511379324805
"moderate_ifeval_like","balanced_moderate_dense_signed_cross","independent_marginal_mixture",3,2,1000,500,25,0.0749721922574558,0.0069308096140411,0.0611105730293736,0.088833811485538,0.0633005077062649,0.0026764418222458,0.0579476240617733,0.0686533913507565,0.0379871417237252,0.00885243273068205,0.0202822762623611,0.0556920071850893,0.0348128076246507,0.00794121644032293,0.0189303747440049,0.0506952405052966,0.994298677911794,0.000508559415824695,0.993281559080144,0.995315796743443
"moderate_ifeval_like","balanced_moderate_dense_signed_cross","joint_mixture_factor_gibbs",3,2,1000,500,25,0.075591727025017,0.0076036815757915,0.060384363873434,0.0907990901765999,0.1018836061492,0.0596358740102182,-0.0173881418712363,0.221155354169637,0.56581640694959,0.077700897701839,0.410414611545912,0.721218202353268,0.540901446698446,0.0923974249563233,0.356106596785799,0.725696296611092,0.97493762330301,0.0191317651581914,0.936674092986627,1.01320115361939
"moderate_ifeval_like","balanced_moderate_dense_signed_cross","independent_marginal_mixture",3,2,2000,500,25,0.0528068592548407,0.00614708873676075,0.0405126817813192,0.0651010367283622,0.043552623376417,0.000833754572891676,0.0418851142306336,0.0452201325222003,0.0266341681470897,0.00761050316290892,0.0114131618212719,0.0418551744729075,0.031740633477134,0.00436097929775448,0.0230186748816251,0.040462592072643,0.99718891256736,0.000175871391239682,0.996837169784881,0.99754065534984
"moderate_ifeval_like","balanced_moderate_dense_signed_cross","joint_mixture_factor_gibbs",3,2,2000,500,25,0.0523818533804391,0.00669390644514362,0.0389940404901518,0.0657696662707263,0.0542849782108345,0.0163658011342945,0.0215533759422454,0.0870165804794236,0.451425456963123,0.0734231802820732,0.304579096398977,0.59827181752727,0.435391876486722,0.0889039032991559,0.25758406988841,0.613199683085033,0.989326645254299,0.00251846906288477,0.98428970712853,0.994363583380069
"moderate_ifeval_like","balanced_moderate_dense_signed_cross","independent_marginal_mixture",3,3,100,500,25,0.30098262134769,0.0611332748545609,0.178716071638568,0.423249171056812,0.271665676709518,0.0355771812028215,0.200511314303875,0.342820039115161,0.426603858348544,0.208115387125073,0.0103730840983973,0.842834632598691,0.187644179878062,0.029944682989597,0.127754813898868,0.247533545857256,0.919318062558858,0.0203329867996962,0.878652088959466,0.95998403615825
"moderate_ifeval_like","balanced_moderate_dense_signed_cross","joint_mixture_factor_gibbs",3,3,100,500,25,0.327503662904486,0.066871275450531,0.193761112003424,0.461246213805548,0.905145138254383,0.0672320915831427,0.770680955088097,1.03960932142067,1.15606403046486,0.316682307324298,0.522699415816261,1.78942864511345,0.968320467978305,0.104117019495672,0.760086428986961,1.17655450696965,0.737540941210066,0.0672345921909793,0.603071756828108,0.872010125592025
"moderate_ifeval_like","balanced_moderate_dense_signed_cross","independent_marginal_mixture",3,3,500,500,25,0.0993142504501904,0.00897857696130625,0.0813570965275779,0.117271404372803,0.0921191128858527,0.00373619419324591,0.0846467244993609,0.0995915012723446,0.234993261338789,0.0671847488090374,0.100623763720714,0.369362758956864,0.155198657680525,0.030746927302914,0.0937048030746974,0.216692512286354,0.985570455062682,0.00200203595826824,0.981566383146146,0.989574526979219
"moderate_ifeval_like","balanced_moderate_dense_signed_cross","joint_mixture_factor_gibbs",3,3,500,500,25,0.111671190960431,0.0158171734812481,0.0800368439979345,0.143305537922927,0.646841870946579,0.10787779591114,0.4310862791243,0.862597462768859,1.09825023425591,0.654837914799013,-0.211425595342115,2.40792606385394,0.722155133463858,0.125059580814527,0.472035971834805,0.972274295092912,0.707948712123415,0.0549428409462634,0.598063030230889,0.817834394015942
"moderate_ifeval_like","balanced_moderate_dense_signed_cross","independent_marginal_mixture",3,3,1000,500,25,0.0724921934946753,0.00696023947641565,0.058571714541844,0.0864126724475066,0.0650330112486269,0.00378111994044186,0.0574707713677432,0.0725952511295107,0.253162498161805,0.0504018895224846,0.152358719116836,0.353966277206774,0.174559710728377,0.0244823492481073,0.125595012232162,0.223524409224591,0.98967529924891,0.00166392257291987,0.98634745410307,0.993003144394749
"moderate_ifeval_like","balanced_moderate_dense_signed_cross","joint_mixture_factor_gibbs",3,3,1000,500,25,0.0744110754304351,0.0081212824881687,0.0581685104540977,0.0906536404067725,0.203788737776625,0.0905969436354444,0.0225948505057364,0.384982625047514,0.688222462971005,0.0194266359606471,0.649369191049711,0.727075734892299,0.658490097460292,0.0121319824370262,0.634226132586239,0.682754062334344,0.910156843219705,0.0331901365419937,0.843776570135718,0.976537116303692
"moderate_ifeval_like","balanced_moderate_dense_signed_cross","independent_marginal_mixture",3,3,2000,500,25,0.0490042561410439,0.00573866310834602,0.0375269299243519,0.060481582357736,0.0456045821643424,0.00165512399176982,0.0422943341808028,0.048914830147882,0.250695013258197,0.0305896019056652,0.189515809446867,0.311874217069528,0.188716931925227,0.0187283524219857,0.151260227081256,0.226173636769199,0.992226650759072,0.000995466052943845,0.990235718653184,0.994217582864959
"moderate_ifeval_like","balanced_moderate_dense_signed_cross","joint_mixture_factor_gibbs",3,3,2000,500,25,0.0498601131436914,0.00674214996326279,0.0363758132171658,0.063344413070217,0.119000286719003,0.0740334795853504,-0.0290666724516979,0.267067245889704,0.679482149466828,0.0234698810712215,0.632542387324385,0.726421911609271,0.63230728318248,0.0173271484304878,0.597652986321504,0.666961580043456,0.936439112403874,0.0211242025168392,0.894190707370196,0.978687517437553
"moderate_ifeval_like","balanced_moderate_dense_signed_cross","independent_marginal_mixture",4,2,100,500,25,0.376769510448239,0.0939115220124322,0.188946466423374,0.564592554473103,0.265534237254979,0.0315218098345012,0.202490617585977,0.328577856923981,0.0967210620518121,0.0261869029068603,0.0443472562380915,0.149094867865533,0.0697530778446623,0.0129878503423652,0.043777377159932,0.0957287785293927,0.914060526846977,0.0215230511671337,0.871014424512709,0.957106629181244
"moderate_ifeval_like","balanced_moderate_dense_signed_cross","joint_mixture_factor_gibbs",4,2,100,500,25,0.349635689318994,0.0562513720933005,0.237132945132393,0.462138433505595,0.993300508022039,0.0589794916408043,0.875341524740431,1.11125949130365,1.97840772816531,0.311019673919035,1.35636838032724,2.60044707600338,1.16715288118582,0.0976990474605592,0.971754786264697,1.36255097610693,0.649091973711419,0.0674329080370998,0.51422615763722,0.783957789785619
"moderate_ifeval_like","balanced_moderate_dense_signed_cross","independent_marginal_mixture",4,2,500,500,25,0.106991593967569,0.00985080215855001,0.0872899896504692,0.126693198284669,0.0876692846839966,0.0023898330252039,0.0828896186335888,0.0924489507344044,0.0495651479292364,0.0142079252384431,0.0211492974523501,0.0779809984061226,0.0384591594329426,0.0105735285450067,0.0173121023429292,0.059606216522956,0.987746423377978,0.000717302155605997,0.986311819066766,0.98918102768919
"moderate_ifeval_like","balanced_moderate_dense_signed_cross","joint_mixture_factor_gibbs",4,2,500,500,25,0.108490964066499,0.0126269581834996,0.0832370476994998,0.133744880433498,0.532581070367814,0.174162894172557,0.1842552820227,0.880906858712928,0.719549837771191,0.0284432397230497,0.662663358325091,0.77643631721729,0.693023282311632,0.0310946193470351,0.630834043617562,0.755212521005702,0.730634619814594,0.098523607583352,0.533587404647891,0.927681834981298
"moderate_ifeval_like","balanced_moderate_dense_signed_cross","independent_marginal_mixture",4,2,1000,500,25,0.0756281106835997,0.00803835906979999,0.0595513925439997,0.0917048288231997,0.0608478645681067,0.00167103092401188,0.0575058027200829,0.0641899264161304,0.0372697930985728,0.00934168352614158,0.0185864260462897,0.055953160150856,0.039872208914267,0.00835587795321269,0.0231604530078416,0.0565839648206924,0.993879838445461,0.000384329922760718,0.993111178599939,0.994648498290982
"moderate_ifeval_like","balanced_moderate_dense_signed_cross","joint_mixture_factor_gibbs",4,2,1000,500,25,0.0755502174873909,0.00914664491897249,0.057256927649446,0.0938435073253359,0.168765185628514,0.0794751208458854,0.00981494393674306,0.327715427320285,0.591665138387,0.0632475949349891,0.465169948517022,0.718160328256979,0.549675356340651,0.051887141564096,0.445901073212459,0.653449639468843,0.933596571541862,0.0346417188331343,0.864313133875593,1.00288000920813
"moderate_ifeval_like","balanced_moderate_dense_signed_cross","independent_marginal_mixture",4,2,2000,500,25,0.0536395291598195,0.00670116815142245,0.0402371928569746,0.0670418654626644,0.0423493927755785,0.00087969621789962,0.0405900003397792,0.0441087852113777,0.0311331836134445,0.00661944278026954,0.0178942980529054,0.0443720691739836,0.0380372143439051,0.00580060246107934,0.0264360094217464,0.0496384192660637,0.996948522564746,0.000265643624188536,0.996417235316369,0.997479809813123
"moderate_ifeval_like","balanced_moderate_dense_signed_cross","joint_mixture_factor_gibbs",4,2,2000,500,25,0.05306407863122,0.00674717527918,0.03956972807286,0.06655842918958,0.100555791457149,0.0661961915925609,-0.0318365917279728,0.232948174642271,0.544310995389268,0.0639729730043953,0.416365049380477,0.672256941398058,0.519965199025268,0.0720489186961257,0.375867361633016,0.664063036417519,0.959159268042413,0.0212514879200304,0.916656292202352,1.00166224388247
"moderate_ifeval_like","balanced_moderate_dense_signed_cross","independent_marginal_mixture",4,3,100,500,25,0.308115746774561,0.0682717005461515,0.171572345682258,0.444659147866864,0.281921749988393,0.0438882902238831,0.194145169540627,0.369698330436159,0.491695724274745,0.161322694422974,0.169050335428797,0.814341113120694,0.184259087549573,0.0335824109776384,0.117094265594296,0.25142390950485,0.895187308609256,0.0224669226024801,0.850253463404296,0.940121153814217
"moderate_ifeval_like","balanced_moderate_dense_signed_cross","joint_mixture_factor_gibbs",4,3,100,500,25,0.345007804764948,0.0568470803831651,0.231313643998617,0.458701965531278,0.985410851689388,0.0643137991508237,0.856783253387741,1.11403844999104,1.01576710170995,0.126891715160365,0.761983671389217,1.26955053203068,1.0629271511984,0.0860404837941143,0.890846183610171,1.23500811878663,0.614290376384453,0.0562336852084349,0.501823005967583,0.726757746801323
"moderate_ifeval_like","balanced_moderate_dense_signed_cross","independent_marginal_mixture",4,3,500,500,25,0.102951568863759,0.0123073268665731,0.0783369151306124,0.127566222596905,0.0921869154281859,0.0043286815167678,0.0835295523946503,0.100844278461722,0.258422229358078,0.0541594734917888,0.1501032823745,0.366741176341656,0.156237667077857,0.0245041241947458,0.107229418688366,0.205245915467349,0.977116152584469,0.00445780590152527,0.968200540781418,0.98603176438752
"moderate_ifeval_like","balanced_moderate_dense_signed_cross","joint_mixture_factor_gibbs",4,3,500,500,25,0.115235165841262,0.0201334348964248,0.074968296048412,0.155502035634111,0.741513806316197,0.064942554825409,0.611628696665379,0.871398915967015,1.14216999607668,0.632375884024246,-0.122581771971815,2.40692176412517,0.837505125799222,0.232587286610855,0.372330552577512,1.30267969902093,0.575234268221328,0.0387642495899552,0.497705769041418,0.652762767401239
"moderate_ifeval_like","balanced_moderate_dense_signed_cross","independent_marginal_mixture",4,3,1000,500,25,0.0703107160853287,0.00651359707067252,0.0572835219439837,0.0833379102266738,0.0643706321847975,0.00265448731495075,0.059061657554896,0.0696796068146991,0.230474692273787,0.0342931960435427,0.161888300186702,0.299061084360873,0.161681459673921,0.0157542215391277,0.130173016595665,0.193189902752176,0.983370356698188,0.00265926825147224,0.978051820195243,0.988688893201132
"moderate_ifeval_like","balanced_moderate_dense_signed_cross","joint_mixture_factor_gibbs",4,3,1000,500,25,0.0726404082465822,0.00855202093800877,0.0555363663705647,0.0897444501225998,0.411744420686912,0.113006686513187,0.185731047660538,0.637757793713286,0.747185670267202,0.0707796284023192,0.605626413462563,0.88874492707184,0.698490203606264,0.00628957804092428,0.685911047524416,0.711069359688113,0.713014079170459,0.0568784885848152,0.599257102000829,0.826771056340089
"moderate_ifeval_like","balanced_moderate_dense_signed_cross","independent_marginal_mixture",4,3,2000,500,25,0.0472968914264263,0.00411000786268707,0.0390768757010521,0.0555169071518004,0.0459600613115132,0.00213620087704963,0.0416876595574139,0.0502324630656124,0.239358961078838,0.0414788038553142,0.15640135336821,0.322316568789467,0.178594549917038,0.0203494972728746,0.137895555371289,0.219293544462787,0.984187633933317,0.00371477115415674,0.976758091625004,0.991617176241631
"moderate_ifeval_like","balanced_moderate_dense_signed_cross","joint_mixture_factor_gibbs",4,3,2000,500,25,0.0474299781518752,0.00394065876973126,0.0395486606124127,0.0553112956913377,0.195865767813381,0.0721253644543131,0.0516150389047549,0.340116496722007,0.719529486102928,0.00792747506576787,0.703674535971392,0.735384436234463,0.688400408743503,0.00459038606965413,0.679219636604195,0.697581180882811,0.803326758845598,0.0263353987246307,0.750655961396337,0.855997556294859
"moderate_ifeval_like","balanced_moderate_few_positive_cross","independent_marginal_mixture",3,2,100,500,25,0.395734289289888,0.0909422555627891,0.21384977816431,0.577618800415466,0.279076448079639,0.0341620530825214,0.210752341914596,0.347400554244682,0.112655835152659,0.0595683306399836,-0.00648082612730873,0.231792496432626,0.068602560584108,0.0136549364759244,0.0412926876322591,0.0959124335359569,0.913328749148268,0.0190305646929092,0.87526761976245,0.951389878534086
"moderate_ifeval_like","balanced_moderate_few_positive_cross","joint_mixture_factor_gibbs",3,2,100,500,25,0.354140304503498,0.0691560457417973,0.215828213019904,0.492452395987093,0.943794913246021,0.0925937006768161,0.758607511892389,1.12898231459965,2.08893981346682,0.555705725542486,0.97752836238185,3.20035126455179,1.03203079704113,0.140400910718787,0.751228975603561,1.31283261847871,0.704665641310646,0.0959619601325613,0.512741721045523,0.896589561575768
"moderate_ifeval_like","balanced_moderate_few_positive_cross","independent_marginal_mixture",3,2,500,500,25,0.115762853292313,0.0138236572317261,0.0881155388288611,0.143410167755766,0.0911956676027891,0.00400014721569759,0.0831953731713939,0.0991959620341843,0.050081950095758,0.0169363866862602,0.0162091767232375,0.0839547234682785,0.0397401425621275,0.0130792295783786,0.0135816834053703,0.0658986017188847,0.987404106121066,0.00113645474336349,0.985131196634339,0.989677015607793
"moderate_ifeval_like","balanced_moderate_few_positive_cross","joint_mixture_factor_gibbs",3,2,500,500,25,0.122444368165851,0.018771841436921,0.0849006852920085,0.159988051039693,0.435585466532047,0.183207749186391,0.0691699681592656,0.802000964904828,1.38849416099238,1.53066535590736,-1.67283655082233,4.4498248728071,0.682335866173433,0.397572479295526,-0.112809092417619,1.47748082476448,0.811868766878572,0.11082967505811,0.590209416762352,1.03352811699479
"moderate_ifeval_like","balanced_moderate_few_positive_cross","independent_marginal_mixture",3,2,1000,500,25,0.0742047696428295,0.00702458497152953,0.0601555996997704,0.0882539395858885,0.0611402341696422,0.00221965193003619,0.0567009303095698,0.0655795380297145,0.0391140616051437,0.011439579498576,0.0162349026079918,0.0619932206022957,0.0370049363019466,0.00987273709175266,0.0172594621184413,0.056750410485452,0.994131674379359,0.000510046413465958,0.993111581552427,0.995151767206291
"moderate_ifeval_like","balanced_moderate_few_positive_cross","joint_mixture_factor_gibbs",3,2,1000,500,25,0.0752562601727056,0.00797163659292968,0.0593129869868462,0.091199533358565,0.0796172597842309,0.0199825452977848,0.0396521691886613,0.119582350379801,0.610544042052535,0.537728534139207,-0.464913026225878,1.68600111033095,0.472827129745443,0.142739650832033,0.187347828081377,0.758306431409509,0.978063643484527,0.0243204359652329,0.929422771554061,1.02670451541499
"moderate_ifeval_like","balanced_moderate_few_positive_cross","independent_marginal_mixture",3,2,2000,500,25,0.0505278397632287,0.00376167304229872,0.0430044936786312,0.0580511858478261,0.0423698388910334,0.00112012685997558,0.0401295851710822,0.0446100926109845,0.0277982040964768,0.00553517192867011,0.0167278602391366,0.038868547953817,0.0361755916253567,0.00725875372984367,0.0216580841656694,0.0506930990850441,0.997145986722129,0.000169272655516948,0.996807441411095,0.997484532033162
"moderate_ifeval_like","balanced_moderate_few_positive_cross","joint_mixture_factor_gibbs",3,2,2000,500,25,0.0510803186273652,0.0043922427224947,0.0422958331823758,0.0598648040723547,0.0555935356746551,0.0446302680633332,-0.0336670004520113,0.144854071801321,0.550369921717495,0.266907890677593,0.01655414036231,1.08418570307268,0.487508377089548,0.0695935794679067,0.348321218153735,0.626695536025362,0.983623839703319,0.0182169053158933,0.947190029071533,1.02005765033511
