"mixture_scenario","n","p","H","G_config","estimated_z_largest_eigengap_selects_true_H_mean","estimated_z_largest_eigengap_selects_true_H_median","estimated_z_largest_eigengap_selects_true_H_sd","estimated_z_largest_eigengap_selects_true_H_se","estimated_z_largest_eigengap_selects_true_H_n_replications","estimated_z_largest_relative_eigengap_selects_true_H_mean","estimated_z_largest_relative_eigengap_selects_true_H_median","estimated_z_largest_relative_eigengap_selects_true_H_sd","estimated_z_largest_relative_eigengap_selects_true_H_se","estimated_z_largest_relative_eigengap_selects_true_H_n_replications","estimated_z_largest_sv_ratio_selects_true_H_mean","estimated_z_largest_sv_ratio_selects_true_H_median","estimated_z_largest_sv_ratio_selects_true_H_sd","estimated_z_largest_sv_ratio_selects_true_H_se","estimated_z_largest_sv_ratio_selects_true_H_n_replications","estimated_z_eigengap_at_true_H_mean","estimated_z_eigengap_at_true_H_median","estimated_z_eigengap_at_true_H_sd","estimated_z_eigengap_at_true_H_se","estimated_z_eigengap_at_true_H_n_replications","estimated_z_relative_eigengap_at_true_H_mean","estimated_z_relative_eigengap_at_true_H_median","estimated_z_relative_eigengap_at_true_H_sd","estimated_z_relative_eigengap_at_true_H_se","estimated_z_relative_eigengap_at_true_H_n_replications","estimated_z_sv_ratio_at_true_H_mean","estimated_z_sv_ratio_at_true_H_median","estimated_z_sv_ratio_at_true_H_sd","estimated_z_sv_ratio_at_true_H_se","estimated_z_sv_ratio_at_true_H_n_replications","eigengap_diagnostic_seconds_mean","eigengap_diagnostic_seconds_median","eigengap_diagnostic_seconds_sd","eigengap_diagnostic_seconds_se","eigengap_diagnostic_seconds_n_replications"
"asymmetric_pi",400,500,5,"3-3-3-3-3",0.04,0,0.2,0.04,25,1,1,0,0,25,1,1,0,0,25,0.406549004516701,0.414493258270003,0.0256203652051447,0.00512407304102894,25,0.907665202504593,0.909299127379929,0.00618355146908315,0.00123671029381663,25,3.29600445732184,3.3204295280515,0.106087604418926,0.0212175208837852,25,20.16564,20.1610000000001,0.0714731184896499,0.01429462369793,25
"asymmetric_pi",400,500,10,"2-2-2-2-2-2-2-2-2-2",0.84,1,0.374165738677394,0.0748331477354788,25,1,1,0,0,25,1,1,0,0,25,0.234299003689995,0.233058702806446,0.0121306478681364,0.00242612957362729,25,0.854740377800841,0.85403860372559,0.00612871192849346,0.00122574238569869,25,2.62546716731297,2.61746567667312,0.055518554166729,0.0111037108333458,25,13.3536399999997,13.3600000000006,0.027443699944282,0.0054887399888564,25
"asymmetric_pi",400,500,10,"3-3-3-3-3-3-3-3-3-3",0.56,1,0.506622805119022,0.101324561023804,25,1,1,0,0,25,1,1,0,0,25,0.232210989702491,0.233595914562764,0.0106127127316436,0.00212254254632872,25,0.857571491715955,0.857745739545414,0.00685450294410078,0.00137090058882016,25,2.65184983852432,2.65135181281699,0.0615506807363603,0.0123101361472721,25,13.1653599999985,13.1599999999889,0.0960693672997443,0.0192138734599489,25
"asymmetric_pi",400,1000,5,"2-2-2-2-2",0,0,0,0,25,1,1,0,0,25,1,1,0,0,25,0.361250037919635,0.359100710590856,0.0173056669882232,0.00346113339764463,25,0.927241760585411,0.927761967614781,0.00385621873501416,0.000771243747002832,25,3.71109870672051,3.72063481797168,0.0992450440128344,0.0198490088025669,25,25.1353200000002,25.1419999999998,0.0898631923164098,0.017972638463282,25
"asymmetric_pi",400,1000,5,"3-3-3-3-3",0,0,0,0,25,1,1,0,0,25,1,1,0,0,25,0.332382238747169,0.331231782643544,0.0130271307467386,0.00260542614934772,25,0.917689646527694,0.921504448779698,0.00890947118327578,0.00178189423665516,25,3.49876459456189,3.5692541916907,0.171699012798238,0.0343398025596476,25,43.6423599999998,37.9150000000009,40.7333684556038,8.14667369112077,25
"asymmetric_pi",400,1000,10,"2-2-2-2-2-2-2-2-2-2",0,0,0,0,25,1,1,0,0,25,1,1,0,0,25,0.193221336082077,0.196281145476556,0.00892235246484319,0.00178447049296864,25,0.876720872298136,0.875559561882408,0.005664132318771,0.0011328264637542,25,2.85025356475613,2.83477917894875,0.0651871183657964,0.0130374236731593,25,25.1666000000006,25.1850000000049,0.086554895875161,0.0173109791750322,25
"asymmetric_pi",400,1000,10,"3-3-3-3-3-3-3-3-3-3",0,0,0,0,25,1,1,0,0,25,1,1,0,0,25,0.18762002025926,0.185920025348949,0.00861472204459797,0.0017229444089196,25,0.876575157831509,0.876457031489715,0.00522028134614886,0.00104405626922977,25,2.84824172445086,2.84505707853947,0.059961570375582,0.0119923140751164,25,24.7084400000022,24.6520000000019,0.156096145585855,0.031219229117171,25
"asymmetric_pi",400,1500,5,"2-2-2-2-2",0,0,0,0,25,1,1,0,0,25,1,1,0,0,25,0.342106804830021,0.34415346688884,0.0159783510117153,0.00319567020234305,25,0.935612162011119,0.935762685381429,0.00312030006540832,0.000624060013081665,25,3.94423609686696,3.94553873431883,0.0950532054355361,0.0190106410871072,25,33.3667199999998,33.3499999999985,0.29650358626243,0.0593007172524859,25
"asymmetric_pi",400,1500,5,"3-3-3-3-3",0,0,0,0,25,1,1,0,0,25,1,1,0,0,25,0.314002304599764,0.314254863126202,0.0159321796868,0.00318643593736,25,0.914955339528532,0.91950543299027,0.0160103541479337,0.00320207082958675,25,3.47138637396109,3.52465582676004,0.315421906487068,0.0630843812974137,25,33.9419200000001,33.8569999999963,0.657717449467512,0.131543489893502,25
"asymmetric_pi",400,1500,10,"2-2-2-2-2-2-2-2-2-2",0,0,0,0,25,1,1,0,0,25,1,1,0,0,25,0.186286322293085,0.185038169983207,0.0101811471637536,0.00203622943275072,25,0.891154311784321,0.891100593267318,0.006417640029526,0.0012835280059052,25,3.03480033360685,3.03031128460559,0.0883870079876207,0.0176774015975241,25,33.25888,33.2449999999953,0.327579801982117,0.0655159603964234,25
"asymmetric_pi",400,1500,10,"3-3-3-3-3-3-3-3-3-3",0,0,0,0,25,1,1,0,0,25,1,1,0,0,25,0.186444056916039,0.188056466571385,0.0089322510047974,0.00178645020095948,25,0.893762900392429,0.894583948805253,0.00542445086738338,0.00108489017347668,25,3.07084407911211,3.07997100520651,0.0763814019992577,0.0152762803998515,25,32.7057199999981,32.6879999999946,0.283646129297697,0.0567292258595393,25
