"mixture_scenario","signal_source","stage","H","G_config","rotation_method","mean_factor_score_rmse","best_factor_method"
"moderate_overlap","oracle_Z","pretrain",10,"2-2-2-2-2-2-2-2-2-2","fastica_only",1.41068909043577,FALSE
"moderate_overlap","oracle_Z","pretrain",10,"2-2-2-2-2-2-2-2-2-2","mixture_fastica_start",1.41187990071775,FALSE
"moderate_overlap","oracle_Z","pretrain",10,"2-2-2-2-2-2-2-2-2-2","mixture_identity_start",1.40670221860174,TRUE
"separated","oracle_Z","pretrain",10,"2-2-2-2-2-2-2-2-2-2","fastica_only",1.40613565810358,FALSE
"separated","oracle_Z","pretrain",10,"2-2-2-2-2-2-2-2-2-2","mixture_fastica_start",1.40486145308929,FALSE
"separated","oracle_Z","pretrain",10,"2-2-2-2-2-2-2-2-2-2","mixture_identity_start",1.38732128787963,TRUE
"asymmetric_pi","estimated_Z","refined",10,"2-2-2-2-2-2-2-2-2-2","fastica_only",0.161259440818928,FALSE
"asymmetric_pi","estimated_Z","refined",10,"2-2-2-2-2-2-2-2-2-2","mixture_fastica_start",0.114304071757931,TRUE
"asymmetric_pi","estimated_Z","refined",10,"2-2-2-2-2-2-2-2-2-2","mixture_identity_start",0.119537806106935,FALSE
"moderate_overlap","estimated_Z","refined",10,"2-2-2-2-2-2-2-2-2-2","fastica_only",0.125232913645548,FALSE
"moderate_overlap","estimated_Z","refined",10,"2-2-2-2-2-2-2-2-2-2","mixture_fastica_start",0.121633034254319,TRUE
"moderate_overlap","estimated_Z","refined",10,"2-2-2-2-2-2-2-2-2-2","mixture_identity_start",0.130038845846681,FALSE
"separated","estimated_Z","refined",10,"2-2-2-2-2-2-2-2-2-2","fastica_only",0.112537042965375,FALSE
"separated","estimated_Z","refined",10,"2-2-2-2-2-2-2-2-2-2","mixture_fastica_start",0.112021083981739,TRUE
"separated","estimated_Z","refined",10,"2-2-2-2-2-2-2-2-2-2","mixture_identity_start",0.123230372780726,FALSE
"asymmetric_pi","oracle_Z","refined",10,"2-2-2-2-2-2-2-2-2-2","fastica_only",0.159332556066243,FALSE
"asymmetric_pi","oracle_Z","refined",10,"2-2-2-2-2-2-2-2-2-2","mixture_fastica_start",0.11709852676555,FALSE
"asymmetric_pi","oracle_Z","refined",10,"2-2-2-2-2-2-2-2-2-2","mixture_identity_start",0.116501178283697,TRUE
"moderate_overlap","oracle_Z","refined",10,"2-2-2-2-2-2-2-2-2-2","fastica_only",0.121333718924604,FALSE
"moderate_overlap","oracle_Z","refined",10,"2-2-2-2-2-2-2-2-2-2","mixture_fastica_start",0.12079743766101,TRUE
"moderate_overlap","oracle_Z","refined",10,"2-2-2-2-2-2-2-2-2-2","mixture_identity_start",0.130659921644594,FALSE
"separated","oracle_Z","refined",10,"2-2-2-2-2-2-2-2-2-2","fastica_only",0.109038547921388,TRUE
"separated","oracle_Z","refined",10,"2-2-2-2-2-2-2-2-2-2","mixture_fastica_start",0.109486490522725,FALSE
"separated","oracle_Z","refined",10,"2-2-2-2-2-2-2-2-2-2","mixture_identity_start",0.126610294511304,FALSE
"asymmetric_pi","estimated_Z","pretrain",5,"3-3-3-3-3","fastica_only",1.40497788125411,FALSE
"asymmetric_pi","estimated_Z","pretrain",5,"3-3-3-3-3","mixture_fastica_start",1.38828373133943,FALSE
"asymmetric_pi","estimated_Z","pretrain",5,"3-3-3-3-3","mixture_identity_start",1.35737829371475,TRUE
"moderate_overlap","estimated_Z","pretrain",5,"3-3-3-3-3","fastica_only",1.41402327394353,FALSE
"moderate_overlap","estimated_Z","pretrain",5,"3-3-3-3-3","mixture_fastica_start",1.3890335360922,FALSE
"moderate_overlap","estimated_Z","pretrain",5,"3-3-3-3-3","mixture_identity_start",1.37429168204231,TRUE
"separated","estimated_Z","pretrain",5,"3-3-3-3-3","fastica_only",1.38395433073328,FALSE
"separated","estimated_Z","pretrain",5,"3-3-3-3-3","mixture_fastica_start",1.38289248117354,FALSE
"separated","estimated_Z","pretrain",5,"3-3-3-3-3","mixture_identity_start",1.38234223792987,TRUE
"asymmetric_pi","oracle_Z","pretrain",5,"3-3-3-3-3","fastica_only",1.39768411328588,FALSE
"asymmetric_pi","oracle_Z","pretrain",5,"3-3-3-3-3","mixture_fastica_start",1.3968255395931,FALSE
"asymmetric_pi","oracle_Z","pretrain",5,"3-3-3-3-3","mixture_identity_start",1.37024503525999,TRUE
"moderate_overlap","oracle_Z","pretrain",5,"3-3-3-3-3","fastica_only",1.41608500709146,FALSE
"moderate_overlap","oracle_Z","pretrain",5,"3-3-3-3-3","mixture_fastica_start",1.39766006341242,FALSE
"moderate_overlap","oracle_Z","pretrain",5,"3-3-3-3-3","mixture_identity_start",1.38320400172777,TRUE
"separated","oracle_Z","pretrain",5,"3-3-3-3-3","fastica_only",1.41211248302075,FALSE
"separated","oracle_Z","pretrain",5,"3-3-3-3-3","mixture_fastica_start",1.41723874887996,FALSE
"separated","oracle_Z","pretrain",5,"3-3-3-3-3","mixture_identity_start",1.37628995920487,TRUE
"asymmetric_pi","estimated_Z","refined",5,"3-3-3-3-3","fastica_only",0.198330666631399,FALSE
"asymmetric_pi","estimated_Z","refined",5,"3-3-3-3-3","mixture_fastica_start",0.123381397010059,TRUE
"asymmetric_pi","estimated_Z","refined",5,"3-3-3-3-3","mixture_identity_start",0.123394703767675,FALSE
"moderate_overlap","estimated_Z","refined",5,"3-3-3-3-3","fastica_only",0.13987224529326,FALSE
"moderate_overlap","estimated_Z","refined",5,"3-3-3-3-3","mixture_fastica_start",0.127971555768507,TRUE
